country,indicator,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,year_2025
AUS,Industry,206111471765.0,204142667225.0,212942427064.0,225473511541.0,230441145116.0,235211783322.0,240137981910.0,251343930514.0,262668488002.0,264857983464.0,273053747104.0,276837545431.0,293839663569.0,304088408299.0,316745545844.0,321374521499.0,324507391855.0,320969691847.0,333366158736.0,337534875829.0,336586243915.0,334319018497.0,335796101632.0,338342848754.0,340195669620.0,
AUS,Manufacturing,79376684306.0,81208521624.0,83547736234.0,87069462541.0,88234963902.0,87424333363.0,86799056840.0,88610364442.0,92708682515.0,87539886342.0,87718788161.0,87414361786.0,88371046598.0,85699837137.0,84968392649.0,83604632878.0,81837904091.0,81277736099.0,83088457136.0,82413909293.0,81133441516.0,82637389926.0,84468054118.0,84673937851.0,84516152312.0,
AUS,GDP,874926744105.0,892700520464.0,927960453450.0,956646310281.0,997006658239.0,1028467016034.0,1056965077770.0,1097018464974.0,1136774249983.0,1158996461663.0,1184610839239.0,1212979128949.0,1260921781880.0,1294392358274.0,1328061960035.0,1356805839935.0,1394194533274.0,1426167740135.0,1467158231105.0,1499347932643.0,1497345824797.0,1527396783519.0,1592357665099.0,1649424913623.0,1672078242948.0,
BEL,Industry,79218219648.0,79558719809.0,79580349942.0,79857355196.0,83758853087.0,85779825207.0,86502590624.0,90642319014.0,88858480935.0,85063040471.0,87667428118.0,89301848826.0,87253963637.0,87886719791.0,89109370544.0,89796650582.0,88723118166.0,89627895672.0,90089504643.0,93214111944.0,88204194326.0,86886151695.0,93295349541.0,94476334876.0,94480621032.0,
BEL,Manufacturing,53025189188.0,53401190233.0,53624799608.0,53517617468.0,56241770942.0,57730840737.0,56391013183.0,59967645654.0,57963898396.0,53487748701.0,55693160934.0,56036448567.0,55104725903.0,56228868448.0,57133973367.0,57942868346.0,56788044278.0,58219510022.0,58943776827.0,60747586216.0,56593998886.0,53719790415.0,62193275182.0,61289897368.0,60006251543.0,
BEL,GDP,367797580320.0,371841895842.0,378188843981.0,382114274683.0,395760365336.0,404948883847.0,415284559725.0,430554259966.0,432478429044.0,424233482718.0,435731531598.0,444146182962.0,445104666468.0,446464436962.0,454346946885.0,461044767544.0,466547349432.0,473426439010.0,482317238282.0,494099718080.0,470417598101.0,499839663858.0,519614510458.0,528521336864.0,534178915343.0,
USA,Industry,,,,,,,,,,,,,,,,3383977115000.0,,,,,,,,,,
USA,Manufacturing,,,,,,,,,,,,,,,,2123243202000.0,,,,,,,,,,
USA,GDP,13650948362520.0,13781388409036.0,14015733659783.0,14407558345762.0,14961928297813.0,15483134541390.0,15914268559668.0,16233167950743.0,16251606759787.0,15832884074310.0,16259610790677.0,16513977256911.0,16892000920975.0,17249744800617.0,17685097277697.0,18206020741000.0,18537270454435.0,18992846546661.0,19556270302218.0,20061570168697.0,19627632559934.0,20816096100824.0,21339074561820.0,21955252291273.0,22568462768174.0,
CAN,Industry,317027387442.0,314941058499.0,324303412400.0,327310083631.0,338170477878.0,348253596333.0,352114218723.0,354020439372.0,348830933368.0,314573388103.0,335592813841.0,350837201681.0,359205067375.0,368542123011.0,384321566303.0,380032251381.0,374504304985.0,388477107101.0,401285055799.0,402458626992.0,378918376797.0,401989717933.0,414143128274.0,412747420302.0,412488034232.0,
CAN,Manufacturing,173450001659.0,167126307535.0,170193867813.0,168011151647.0,172093342869.0,175548738373.0,172716322052.0,167511852242.0,158559584492.0,136695773048.0,143296601227.0,148268216852.0,150428793083.0,149937128242.0,154393412327.0,155268331357.0,155253825985.0,158273288364.0,163116644665.0,163085342657.0,149167566336.0,158770297250.0,164406119147.0,163183065218.0,158624477536.0,
CAN,GDP,1163199675162.0,1185010810251.0,1220552310378.0,1242600185731.0,1281025904587.0,1322152656986.0,1357030300367.0,1384848127424.0,1398632992945.0,1357861635362.0,1399830508940.0,1443745913580.0,1469093201732.0,1503261570451.0,1546457292263.0,1556508816217.0,1572673952924.0,1620386284360.0,1664832887873.0,1696605090551.0,1611126165625.0,1706996679677.0,1778503389905.0,1805692180594.0,1833766996134.0,
MEX,Industry,321567493301.0,314062897477.0,308810894053.0,312191360075.0,324115222439.0,331486467608.0,348229015460.0,352214441578.0,349256348306.0,320979437735.0,336067406819.0,346639600360.0,359005239224.0,357113887386.0,367493529901.0,374183090870.0,375251938413.0,377601474863.0,378226707730.0,371641649204.0,338795816288.0,360411192926.0,377546395902.0,390739572602.0,391769820285.0,
MEX,Manufacturing,209057118220.0,204721290737.0,198564723201.0,198132261126.0,203108238477.0,207594257450.0,218183427959.0,218898681661.0,215440586849.0,193049858939.0,207469788816.0,214374686416.0,224685459517.0,223643175856.0,232524690708.0,240516475082.0,242702633596.0,248932624505.0,252307931516.0,252194944195.0,231477746053.0,251764544059.0,265892487478.0,269645806286.0,270488266158.0,
